annu_audios,annu_sign_text
Longwood_Ave,Longwood Ave.
Congress_Ave,Congress Ave.
Clarke_St,Clarke St.
107th_Ave,107th Ave.
Sprague_Ct,Sprague Ct.
Oakland_Zoo,Oakland Zoo
Acapulco_Rd,Acapulco Road
San_Leandro_Hospital,San Leandro Hospital
Pacheco_Way,Pacheco Way
Sheridan_Ave,Sheridan Ave.
Zion_Lutheran_Church_&_School,Zion Lutheran Church and School
Farnsworth_St,Farnsworth St.
No_1809,1809
7th_Ave,7th Ave.
Mead_Way,Mead Way
No_13685,13685
Via_Granada,Via Granada
Carl_Ave,Carl Ave.
Hunter_Ln,Hunter Lane
27th_St,27th St.
Royal_Ave,Royal Ave.
Gaynor_Ave,Gaynor Ave.
S_Shore_Ctr,South Shore Ctr
Davenport_Pl,Davenport Pl.
Wells_Ave,Wells Ave.
Collins_Dr,Collins Dr.
Milmont_Dr,Milmont Dr.
El_Cerrito_Plaza_BART,El Cerrito Plaza BART
New_England_Village_Dr,New England Village Dr.
Bayfair_Dr,Bayfair Dr.
Linden_St,Linden St.
61st_Ave,61st Ave.
Gilman_St,Gilman St.
Payne_Dr,Payne Dr.
Kansas_St,Kansas St.
S_17th_St,South 17th St.
Road_20,Road 20
Ada_St,Ada St.
Meredith_Dr,Meredith Dr.
DEJEAN_MIDDLE_SCHOOL,DeJean Middle School
Glenwood_Glade,Glenwood Glade
145th_Ave,145th Ave.
167th_Ave,167th Ave.
Via_La_Jolla,Via La Jolla
Sycamore_Ave,Sycamore Ave.
Hebrew_Day_School,Hebrew Day School
S_53rd_St,South 53rd St.
46401,46401
SOUTH_MAGAZINE_RD,South Magazine Road
146th_Ave,146th Ave.
Latham_St,Latham St.
Milton_Dr,Milton Dr.
Calgary_St,Calgary St.
Chapman_Dr,Chapman Dr.
Mohave_Dr,Mohave Dr.
Rivers_St,Rivers St.
Clay_St,Clay St.
Bayview_Elementary_School,Bayview Elementary School
No_2557,2557
Via_Walter,Via Walter
Bonita_Ave,Bonita Ave.
Torrano_Common,Torrano Common
Hopkins_St,Hopkins St.
Farwell_Dr,Farwell Dr.
Packet_Landing_Rd,Packet Landing Road
Regent_St,Regent St.
Parkwoods,Parkwoods
Besco_Dr,Besco Dr.
66th_St,66th St.
No_6133,6133
Dalgo_Rd,Dalgo Road
Alfreda_Blvd,Alfreda Blvd.
164th_Ave,164th Ave.
Lewelling_Blvd,Lewelling Blvd.
45th_Ave,45th Ave.
No_8450,8450
Knoll_Ave,Knoll Ave.
Lake_Anza,Lake Anza
Hegenberger_Pl,Hegenberger Pl.
SEAPLANE_LAGOON_FERRY_TERMINAL,Seaplane Lagoon Ferry Terminal
Galaxy_Dr,Galaxy Dr.
Lois_Ln,Lois Lane
Church_Ln,Church Lane
MONTE_VISTA_VILLAS,Monte Vista Villas
Manila_Ave,Manila Ave.
Curie_St,Curie St.
Santa_Clara_Ave,Santa Clara Ave.
Fortuna_Ave,Fortuna Ave.
Flint_St,Flint St.
Clubhouse_Memorial_Rd,Clubhouse Memorial Road
SAN_FELIPE_PARK,San Felipe Park
Northshore_Dr,Northshore Dr.
W_Redline_Ave,West Red Line Ave.
Valpey_Park_Ave,Valpey Park Ave.
109th_Ave,109th Ave.
No_1475,1475
Mandela_Pkwy,Mandela Parkway
PLEASANT_HILL_BART,Pleasant Hill BART
Helms_Mid_Sch,Helms Middle School
W_A_St,West A St.
TONE_5,Virtual Stop For Scja
ALCORN_PL,Alcorn Pl.
Sutter_Ave,Sutter Ave.
Alpenrose_Ct,Alpenrose Ct.
Edgemoor_Pl,Edgemoor Pl.
Nicol_Ave,Nicol Ave.
Farm_Hill_Dr,Farm Hill Dr.
Lake_Park_Ave,Lake Park Ave.
Garin_Ave,Garin Ave.
104th_Ave,104th Ave.
Garrard_Blvd,Garrard Blvd.
52nd_St,52nd St.
Louise_St,Louise St.
