c_abbrev9,c_city,c_description,c_description_len,c_destination,c_temp,cx_description_city,cx_destination_city,h_loca_latitude,h_loca_longitude,h_plc_description,h_plc_district,h_plc_identifier,h_plc_number,h_plc_reference_place,i_abbrev9,i_city,i_description,o_abbrev9,o_city,o_description,o_destination,u_nonpublic,u_plc_notes,ux_usecity_description,ux_usecity_destination
BRMD,Hayward,Bret Harte Middle School (Hayward),34,Bret Harte Middle School (Hayward),2,"Bret Harte Middle School (Hayward), Hayward","Bret Harte Middle School (Hayward), Hayward",37.6702118,-122.0790551,Bret Harte Middle School (Hayward),08,BRMD,BRHRMDDL,,BRHR MDDL,Hayward,Bret Harte Middle School (Hayward),BRMD,,,,,,1,1
C ST FTHL,Hayward,C St. & Foothill Blvd.,22,C St. & Foothill Blvd.,2,"C St. & Foothill Blvd., Hayward","C St. & Foothill Blvd., Hayward",37.6732929,-122.0795364,C St. & Foothill Blvd.,08,C FT,C STFTHL,,C ST FTHL,Hayward,C St. & Foothill Blvd.,,,,,,,1,1
CHAB SMST,Castro Valley,Lake Chabot Road & Somerset Ave.,32,Lake Chabot Road & Somerset Ave.,0,"Lake Chabot Road & Somerset Ave., Castro Valley","Lake Chabot Road & Somerset Ave., Castro Valley",37.7016128,-122.0881410,Lake Chabot Road & Somerset Ave.,98,CHSM,CHABSMST,,CHAB SMST,Alameda County,Lake Chabot Road & Somerset Ave.,,Castro Valley,Lake Chabot Road & Somerset Ave.,,,,1,1
C.V. CHBO,Castro Valley,Castro Valley Blvd. & Lake Chabot Road,38,Castro Valley Blvd. & Lake Chabot Road,0,"Castro Valley Blvd. & Lake Chabot Road, Castro Valley","Castro Valley Blvd. & Lake Chabot Road, Castro Valley",37.6943446,-122.0864551,Castro Valley Blvd. & Lake Chabot Road,98,CVCH,C.V.CHBO,,C.V. CHBO,Alameda County,Castro Valley Blvd. & Lake Chabot Road,,Castro Valley,Castro Valley Blvd. & Lake Chabot Road,,,,1,1
C.V. JOHN,Castro Valley,Castro Valley Blvd. & John Dr.,30,Castro Valley Blvd. & John Dr.,1,"Castro Valley Blvd. & John Dr., Castro Valley","Castro Valley Blvd. & John Dr., Castro Valley",37.6912871,-122.0934603,Castro Valley Blvd. & John Dr.,98,CVJO,C.V.JOHN,,C.V. JOHN,Alameda County,Castro Valley Blvd. & John Dr.,,Castro Valley,,,,,1,1
EDEN HOSP,Castro Valley,Eden Hospital,13,Eden Hospital,0,Eden Hospital,Eden Hospital,37.6974913,-122.0870668,Eden Hospital,98,EDHP,EDENHOSP,,EDEN HOSP,Alameda County,Eden Hospital,,Castro Valley,Eden Hospital,,,,,
C.V. BART,Castro Valley,Castro Valley BART,18,Castro Valley BART,2,Castro Valley BART,Castro Valley BART,37.6916245,-122.0748333,Castro Valley BART,98,CVBA,C.V.BART,,C.V. BART,Alameda County,Castro Valley BART,,Castro Valley,Castro Valley BART,,,,,0
C.V. REDW,Castro Valley,Castro Valley Blvd. & Redwood Road,34,Castro Valley Blvd. & Redwood Road,0,"Castro Valley Blvd. & Redwood Road, Castro Valley","Castro Valley Blvd. & Redwood Road, Castro Valley",37.6957059,-122.0751219,Castro Valley Blvd. & Redwood Road,98,CVRE,C.V.REDW,,C.V. REDW,Alameda County,Castro Valley Blvd. & Redwood Road,,Castro Valley,Castro Valley Blvd. & Redwood Road,,,,1,1
TENN SRHS,Hayward,Tennyson High School,20,Tennyson High School,0,"Tennyson High School, Hayward","Tennyson High School, Hayward",37.6429107,-122.0661797,Tennyson High School,08,TESR,TENNSRHS,,TENN SRHS,Hayward,Tennyson High School,,,Tennyson High School,,,,1,1
SHAY BART,Hayward,South Hayward BART,18,South Hayward BART,2,South Hayward BART,South Hayward BART,37.6346012,-122.0567032,South Hayward BART,08,SHBA,SHAYBART,,SHAY BART,Hayward,South Hayward BART,,,South Hayward BART,,,,,0
MISS HARD,Hayward,Mission Blvd. & Harder Road,27,Mission Blvd. & Harder Road,2,"Mission Blvd. & Harder Road, Hayward","Mission Blvd. & Harder Road, Hayward",37.6512192,-122.0670396,Mission Blvd. & Harder Road,08,MIHA,MISSHARD,,MISS HARD,Hayward,Mission Blvd. & Harder Road,,,Mission Blvd. & Harder Road,,,,1,1
CAMP 2ND,Alameda County,Campus Dr. & 2nd St.,20,Campus Dr. & 2nd St.,2,"Campus Dr. & 2nd St., Alameda County","Campus Dr. & 2nd St., Alameda County",37.6674852,-122.0595852,Campus Dr. & 2nd St.,98,CA2N,CAMP2ND,,CAMP 2ND,Alameda County,Campus Dr. & 2nd St.,,,Campus Dr. & 2nd St.,,,,1,1
CALI STAT,Hayward,Cal State East Bay,18,Cal State East Bay,2,Cal State East Bay,Cal State East Bay,37.6559007,-122.0573481,Cal State East Bay,08,CAST,CALISTAT,,CALI STAT,Hayward,Cal State East Bay,,,Cal State East Bay,Cal State East Bay,,,,0
HAYW SPCR,Hayward,Hayward Blvd. & Spencer Lane,28,Hayward Blvd. & Spencer Lane,1,"Hayward Blvd. & Spencer Lane, Hayward","Hayward Blvd. & Spencer Lane, Hayward",37.6554937,-122.0449642,Hayward Blvd. & Spencer Lane,08,HASP,HAYWSPCR,,HAYW SPCR,Hayward,Hayward Blvd. & Spencer Lane,,,,,,,1,1
B ST CNTR,Hayward,B St. & Center St.,18,B St. & Center St.,2,"B St. & Center St., Hayward","B St. & Center St., Hayward",37.6831802,-122.0649037,B St. & Center St.,08,BSCN,B STCNTR,,B ST CNTR,Hayward,B St. & Center St.,,,B St. & Center St.,,,,1,1
